attr_name	ControlSkeletal1	ControlSkeletal2	ControlSkeletal3	ControlSkeletal4	ControlSkeletal5	ControlVastus1	ControlVastus2	ControlVastus3	ControlVastus4	ControlVastus5	ControlVastus6	ControlVastus7	ControlVastus8	ControlVastus9	ControlVastus10	ControlVastus11	ControlVastus12	ControlVastus13
1053_at	5.10096950856741	4.92467616749211	5.00513666725251	4.89214107505945	5.51647670992946	4.90582627615026	5.00467027260142	4.96131423407605	4.79953739231961	5.10418056884715	4.91403596203019	5.16266984687021	4.80067606183745	4.70954278586987	5.02514598058663	4.8161761581732	4.9574464407325	4.87418228298173
121_at	7.77439144891227	7.99306167919134	7.90052868874724	7.98166110939748	7.77302844509272	7.85746016252312	8.13526787847924	7.84464521671596	7.81264712370187	8.0205466256756	7.78848404627405	7.70082936310521	7.99120121024766	7.81280409873023	7.79392080929872	7.88295641664609	8.17863920465	8.07784138948279
1487_at	7.69732657240854	7.72222891702123	8.10241915447245	8.01283281326578	7.52744019724555	8.09914724904555	7.76707059410306	7.8948916182034	7.37827872265628	7.48692023312464	7.77852826814422	7.36590950822321	7.31252407842234	7.72472108956275	7.81689771410668	7.59145286324277	7.97749981385767	8.40993314358793
1552256_a_at	5.7115048056808	5.18691569129687	5.60283289839485	5.36706985731356	5.51985108524704	5.46467598317812	5.6154375211055	5.94666521267813	5.41252380608281	5.67127432308635	5.68532231532018	5.88828591123724	5.72670943905808	6.24101594205497	6.64528818034498	6.31558916311368	6.08630131913078	5.96424937794964
1552257_a_at	5.06420847262904	5.03688158875125	4.6967076365699	5.00058295858285	5.19136485632126	5.63372237466965	5.31198700399131	4.74327889327849	5.07723555985198	5.14476742701071	4.89566062584198	5.12145572965632	4.92714172924686	5.68732523964825	6.25565702844971	5.53796174507145	6.43329083171705	6.29687508113237
1552274_at	4.7818936730247	4.56485408760174	4.5485176317722	4.67833091269856	4.78142908799485	4.92663893360101	4.60719264620014	4.62516161797842	4.71168480470783	4.76913280044884	5.1249241955577	5.020717871805	4.88133872115949	5.43905897533018	5.43464842764296	5.60035045040659	4.85747499218783	5.15723133260399
1552287_s_at	4.30825418767345	4.05610702441745	4.31561151871697	4.36988782568069	5.32537019331919	4.66431971217227	4.86522943195195	4.31382723250165	4.79054152200988	4.66081578310471	4.82490181832504	5.46219249742438	4.79397475526484	4.67848839764	4.84236667900982	5.23365451006431	4.94763402651616	4.31631389780665
1552291_at	4.19352391575458	4.26726459375953	3.95669348338407	4.77112665067115	4.31186933645364	4.69637186762086	3.92840659608771	4.80557817573706	5.1280014750826	4.8186661027086	4.47485442056507	4.8521957380726	5.55533028685378	4.20813361660303	4.47101773871605	3.27796685797382	3.14605903212287	2.9038395883872
1552301_a_at	8.95623668544071	8.96879231211254	9.12530307356923	8.79836942542155	8.97185448217246	9.14115256807114	9.45730185590041	9.32265460838382	9.06705251936859	9.33021131862381	9.0583702815528	9.22419517330727	9.18164265117258	9.72046481075148	9.50622451594849	9.90301875643657	9.65041598193927	9.92806407157972
1552302_at	3.24209405686268	3.78879099114219	3.511165137195	3.33863125860612	3.40410879484362	3.29075346979081	3.14649327335084	3.47634569942197	3.49782929245554	3.44219723681946	2.9475642146975	3.18151804858546	3.41410679004479	3.17086781465532	3.53746082586189	3.38165697161105	3.13449224868161	3.06096875623819
1552309_a_at	11.1424740537546	11.1861158096076	11.4436840434904	11.3841433747591	11.448749734929	11.276490072117	11.4596983095556	11.5522983793558	11.2567289460861	11.2567661615314	11.3916442172351	11.2669704647847	11.5031357040602	10.7008169148654	10.4411618726613	11.8921653187619	9.94841033495295	10.7149222997455
1552310_at	4.67331261876321	4.66094021823971	4.81168646641752	4.32142577628491	4.62790155573297	4.72953133874922	4.56079038787177	4.51287328639597	5.14225637468896	4.77386609488093	4.85817914268029	5.09416191432163	5.07813406385256	3.6964719494787	4.58503056964227	4.25587091054297	3.78358334999203	3.8533394841084
1552330_at	3.64932469928688	3.63369189371467	3.76823368882704	3.96414138698412	3.96326581175638	3.75606341514865	3.90338065857958	3.77792119073928	3.87179867160454	3.95421486684638	4.11484035180508	3.72650640703877	3.91795778318245	4.16718603587627	3.65657241830736	4.0275346670113	3.84994539586116	3.62722271726862
1552347_at	5.08123434221531	4.88926997965164	4.66914039636883	5.02410418961594	5.04937679999985	4.92186389439591	4.69293698670608	4.64882853236878	4.27895521452423	4.49392299884001	4.72062639915644	5.15365894128428	4.8955716060817	5.10808910211639	5.1910687750834	4.90283205755917	3.8516016370512	3.34068365904667
