GeneID	GSM6806585	GSM6806586	GSM6806587	GSM6806588	GSM6806589	GSM6806590	GSM6806591	GSM6806592	GSM6806593	GSM6806594	GSM6806595	GSM6806596	GSM6806597	GSM6806598	GSM6806599	GSM6806601	GSM6806602	GSM6806603	GSM6806604	GSM6806606	GSM6806607	GSM6806608	GSM6806609	GSM6806610	GSM6806612	GSM6806613	GSM6806614	GSM6806615	GSM6806618	GSM6806619	GSM6806620	GSM6806621	GSM6806622
100287102	0	3	124	0	0	34	55	11	15	14	150	0	23	5	22	13	81	97	11	25	139	7	11	74	59	61	22	47	125	17	52	7	34
653635	584	404	2966	1621	2076	2034	2360	2626	3124	1764	2950	4727	3152	1209	2531	2490	7076	3216	1663	3925	2608	1560	1199	3328	1845	2819	3457	4002	3538	2541	5609	2230	4060
102466751	0	0	9	0	0	8	0	21	10	2	0	0	5	3	0	13	60	6	4	16	12	11	3	9	7	8	17	27	15	10	39	7	15
107985730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
100302278	0	0	0	0	0	0	0	0	0	0	27	0	0	0	1	7	3	3	1	3	2	0	0	2	1	2	0	0	2	1	1	2	1
645520	157	178	0	0	0	7	0	0	7	1	11	0	0	0	9	14	2	30	0	6	11	2	3	2	1	18	1	2	13	12	3	2	0
79501	0	1	13	0	0	0	0	0	6	69	16	0	8	0	91	1	4	86	0	8	14	11	0	66	12	29	1	3	1	22	6	4	6
100996442	0	8	33	56	135	33	0	42	35	24	26	0	36	22	21	18	15	19	12	16	44	8	10	32	3	22	17	16	21	26	29	30	21
729737	7548	1653	3532	12107	6472	758	3041	7799	5039	7192	3107	6879	4618	2619	2364	5520	8210	4637	5488	6235	15328	1484	2534	7198	1660	12410	2356	7007	5419	15117	17047	8809	21697
102725121	0	4	112	0	0	53	53	22	10	14	133	0	25	4	20	16	119	162	14	36	209	8	10	79	139	69	28	56	151	18	68	7	50
102723897	592	173	3147	2729	4043	1886	1937	2882	3086	1885	2196	4534	2942	1201	1789	3316	6464	3057	1924	4089	2790	1707	1372	3378	2097	3107	3884	4711	3258	2774	6034	2468	4122
102465909	0	0	14	0	0	14	0	34	16	4	0	0	10	4	0	23	94	10	10	27	17	18	4	22	12	17	36	41	33	14	54	9	28
107985721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
112268260	1	0	2	0	0	6	2	0	0	0	4	0	1	1	6	2	2	7	4	2	7	0	3	6	1	1	3	1	4	8	9	2	7
729759	266	466	128	13	771	0	74	0	10	28	421	0	217	119	102	262	229	852	182	134	80	140	181	373	121	62	106	37	12	319	246	253	358
100132287	1930	2307	4602	9430	12579	1916	3117	5903	4820	5523	7023	8279	3886	2135	5054	7232	7134	5082	5031	3053	11565	2498	2536	5015	1932	7235	4584	5177	5964	7803	10090	5113	11709
105378947	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	14	0	12	39	27	33	8	29	13	19	54	150	49	14	18	150	116	78	107	30	142	58	137	103	70	93	96	117	213	82	49	247	52
81399	288	463	180	283	760	33	196	25	23	59	466	44	241	159	116	291	253	924	215	153	127	148	206	442	130	86	126	52	52	360	286	290	413
100133331	5804	3451	7416	9898	17439	2374	4581	6586	4885	6066	10413	8990	3939	2441	7370	8000	8265	6279	4439	2562	11510	2523	2833	4843	2490	7232	5392	4982	8136	6841	8686	4550	10014
107984841	406	344	1436	4322	3471	529	502	1198	1082	1341	2345	1908	1190	753	1675	1582	1689	1458	823	560	2134	619	473	985	472	1439	1079	965	1904	1450	2043	830	2326
107984847	204	261	2019	4138	1402	390	276	1111	1204	1121	2143	2105	1157	636	1869	1534	1670	1680	725	544	2215	472	369	818	472	1476	1035	782	1704	1323	1915	592	2062
107984849	113	72	446	2414	1607	361	138	443	506	802	1068	461	536	453	353	844	640	518	432	266	1045	297	149	391	180	556	465	415	917	596	963	339	1160
100288069	2	0	20	29	48	43	21	31	24	18	53	73	48	13	32	27	15	22	15	15	29	4	11	18	6	33	18	10	25	20	21	17	27
