Ids,description,type,sampleName
GSM6806585,GSM6806585,Watters_02,Metastatic,Metastatic1
GSM6806586,GSM6806586,Watters_03,Metastatic,Metastatic2
GSM6806587,GSM6806587,Watters_13,Metastatic,Metastatic3
GSM6806588,GSM6806588,Watters_01,Metastatic,Metastatic4
GSM6806589,GSM6806589,Watters_06,Metastatic,Metastatic5
GSM6806590,GSM6806590,Watters_08,Metastatic,Metastatic6
GSM6806591,GSM6806591,Watters_07,Metastatic,Metastatic7
GSM6806592,GSM6806592,Watters_15,Primary,Primary1
GSM6806593,GSM6806593,Watters_16,Primary,Primary2
GSM6806594,GSM6806594,Watters_09,Metastatic,Metastatic8
GSM6806595,GSM6806595,Watters_21,Primary,Primary3
GSM6806596,GSM6806596,Watters_22,Primary,Primary4
GSM6806597,GSM6806597,Watters_12,Primary,Primary5
GSM6806598,GSM6806598,Watters_24,Primary,Primary6
GSM6806599,GSM6806599,Watters_25,Primary,Primary7
GSM6806601,GSM6806601,OS06,Primary,Primary9
GSM6806602,GSM6806602,OS08,Primary,Primary10
GSM6806603,GSM6806603,OS12,Primary,Primary11
GSM6806604,GSM6806604,OS15,Primary,Primary12
GSM6806606,GSM6806606,OS17,Primary,Primary14
GSM6806607,GSM6806607,OS20,Primary,Primary15
GSM6806608,GSM6806608,OS25,Primary,Primary16
GSM6806609,GSM6806609,OS28,Primary,Primary17
GSM6806610,GSM6806610,OS30,Primary,Primary18
GSM6806612,GSM6806612,OS35,Primary,Primary19
GSM6806613,GSM6806613,OS34,Metastatic,Metastatic10
GSM6806614,GSM6806614,OS38,Primary,Primary20
GSM6806615,GSM6806615,OS40,Primary,Primary21
GSM6806618,GSM6806618,OS46,Primary,Primary24
GSM6806619,GSM6806619,OS54,Primary,Primary25
GSM6806620,GSM6806620,OS49,Primary,Primary26
GSM6806621,GSM6806621,OS50,Primary,Primary27
GSM6806622,GSM6806622,OS52,Metastatic,Metastatic11
