attr_name	Symbol
COMBINAT1	"CR598595, CR611040, CR617802, CR626105"
COMBINAT2	"NR_002817, BC052332, BC070322, BC071803"
COMBINAT3	"NR_029618, NR_029627, NR_038397"
COMBINAT4	"AK022914, AK056135"
COMBINAT5	"AK022914, AK056135, BC016035, BC017398, BC041856, BX248778"
COMBINAT6	"AK022914, BC016035, BC066547, BX248778, DQ786293"
COMBINAT7	"NM_001001437, NM_021006, BC007783, BC027888, BC107710, BC146914, X52149"
COMBINAT8	"NM_001002029, NM_001242823, NM_001252204, NM_007293, AK293364, BC063289, BC144546, BC146673, BC151204, S81585"
COMBINAT9	"NM_001005180, NM_001199573, NM_006074, AK301192, AK308796, BC022281, BC035582, BC137184, BC137185, DQ656032, DQ656033"
COMBINAT10	"NM_001171653, NM_014795, NR_033258, NR_040248, AK124806, AK308445, BC025730, BC035706, BC037975, BC060819, BC070275, BC127101, BC127102"
COMBINAT11	"NM_001206850, NM_020742, NM_181332, AK055471, AK291036, AY358562, BC034018"
COMBINAT12	"NM_001206999, NM_007174, NR_031589, AB023166"
COMBINAT13	"NM_001243965, NM_002124, NM_022555, BC007920, BC008403, BC008987, BC031023, BC033827, BC108922, BC171883, M27126"
COMBINAT14	"NM_001243965, NM_021983, AJ536121, BC005312, BC007920, BC008403, BC024269, BC031023, BC171883, L02545, M27015, U37582, X12544"
COMBINAT15	"NM_003530, NM_021018, NM_021065, BC031333, BC093807, BC093809, BC128035"
COMBINAT16	"NR_024443, NR_046175"
COMBINAT17	"NR_046175, AK074198"
