genes;condiciones
113219467,85452,54861,653082,1906,345895,11185,100129460,3240;Metastatic1,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,54897,1579,5961,222256,83481,6337,3856,9365,3880,116844,26226;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,127733,84842,1580,388633,163479,692209,406903,419,10586,26797,100506380,65998,89,363,103504738,2125,100423031,3780,5349,388555,57526,4574;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic6,Metastatic9,Metastatic10
113219467,1043,54897,277,7203,1999,5284,57669,130367,9208,54861,64332,51554,51208,645843,84239,3248,100506658,80736,5961,340267,168374,441251,541473,285989,222256,157310,79977,595135,7225,23584,6337,5545,121512,3856,10129,9365,688,8796,1152,255189,117155,79838,100652781,440352,999,3880,3993,2627,3909,116844,9454,163131,1556,57186,26226;Metastatic2,Metastatic3,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,2537,84842,163479,105371242,632,112770,57710,1380,406969,6496,654433,1746,406903,57110,285429,57575,448831,100874002,1161,105379028,441151,4852,222183,9228,100506753,9699,100133669,401492,733,399726,219793,3434,441581,390083,196335,1132,649946,10599,11081,4604,5053,28984,606,100506686,5346,103504738,29895,24150,766,5694,284111,124944,100506755,8153,4222,50964,2208,110806280,107985317,84518,5675,9622,1471,23562,26609,6103,4693,340596,246100,1485,30848,4574;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic7,Metastatic10
113219467,149465,85452,9173,80122,54861,653082,1906,80736,345895,11185,100129460,222256,56892,6101,107984125,83481,22941,5555,85349,9365,3240,116844,5349;Metastatic1,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,128218,84842,1580,440590,163479,284680,406903,105374373,419,10586,105375355,100506380,102724057,1515,84867,65998,89,363,103504738,57524,146556,253982,6928,7473,762,100423031,3780,388555,57526,4574;Metastatic1,Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic9,Metastatic10
113219467,84842,163479,6496,406903,419,10586,222166,100506380,102724057,65998,89,363,103504738,100423031,3780,388555,57526,4574;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,10103,54897,1579,647024,222256,157310,6101,83481,745,22941,6337,9365,341676,1152,55567,10595,999,3880,2627,27134,164312,57186;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic10
113219467,1580,84842,163479,406903,419,10586,105375355,65998,89,363,103504738,2125,100423031,3780,388555,57526,4574;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic9,Metastatic10
113219467,163720,54897,57402,130271,3694,115677,84239,306,6101,7225,6337,1910,2627,9454,57186;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic10
113219467,22996,54897,57669,54861,51554,3248,100506658,80736,5961,285989,745,7225,6337,3856,9365,341676,1152,999,3880,2627,116844,57186,26226;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,440590,84842,163479,284680,6496,406903,105374373,419,10586,222166,100506380,102724057,1515,84867,65998,89,363,103504738,57524,253982,6928,7473,100423031,3780,388555,57526,4574;Metastatic1,Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,388633,84842,163479,692209,6496,406903,419,10586,26797,222166,100506380,102724057,65998,89,363,103504738,100423031,3780,388555,57526,4574;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,4070,105371242,6097,79098,722,165186,100996506,200373,81615,10203,33,102465485,9223,11148,131873,2122,55892,56955,101927516,2160,1161,353189,79908,84851,346007,155465,375612,285,93035,10529,693188,474354,144571,100033436,2595,825,123624,146177,93517,9914,388323,124944,361,1528,3249,107985317,100505495,4861,9476,391253,128602,105372793,728226,6523,4128,102723382;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic7
113219467,9411,10203,54861,64332,653082,441151,649946,112268155,6103;Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,54112,7203,6496,100130701,401089,2122,57110,116984,7060,441151,222183,646480,4062,401492,399726,4892,390083,1132,101928580,64137,107984498,3229,11081,4604,105369937,606,29895,24150,284111,8153,8313,3780,84518,4606,128674,7125,23562,26609,6103,57526,4574;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7
113219467,276,278,26769,9208,54861,285989,222256,10129,116844,57186;Metastatic1,Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,277,54897,10103,22996,57111,112268422,79083,54861,51554,3248,100506658,153643,80736,647024,340267,285989,222256,157310,3983,745,7225,3856,113218482,10129,9365,341676,1152,255189,117155,55930,112268155,55567,100652781,10595,999,218,2627,201456,116844,1556,1555,54854,57186,26226,102723508;Metastatic1,Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,105371242,112770,54861,100129460,222256,124944;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic7,Metastatic10
113219467,1513,54861,100129460;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic6,Metastatic9,Metastatic10
113219467,57402,54897,10103,22996,277,4582,57111,7851,55289,10018,112268422,57669,3694,79083,100130449,7433,54861,776,64332,51208,645843,84239,306,2266,3248,100506658,80736,647024,5961,5340,340267,10551,168374,105180390,641776,105180391,541473,285989,10071,641384,100302170,83481,6505,595135,8395,65217,9356,378938,109136579,22941,7225,143884,23584,259294,121512,2065,54997,10129,9365,341676,1152,255189,117155,55930,112268155,55567,100652781,440352,999,503645,503640,3993,2627,3909,201456,116844,148213,163131,1556,54854,100529240,94059,79818,692213,164312,57186,92086,26226,4128,102725051;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic10
113219467,4582,54897,22996,277,57111,115019,7851,10018,112268422,57669,3694,130367,100130449,54861,776,64332,51554,51208,645843,84239,3248,100506658,153643,57528,80736,647024,114327,5340,340267,168374,105180390,641776,105180391,102723849,285989,1577,10071,222256,157310,79977,100302161,100302170,6505,8395,65217,3983,4583,745,378938,109136579,692072,7225,23584,259294,121512,3856,113218482,2065,54997,10129,9365,341676,1152,255189,117155,55930,112268155,79838,55567,100652781,10595,440352,80004,999,3993,2627,3909,201456,116844,148213,163131,1556,112268252,54854,94059,79818,692213,57186,7113,5625;Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,632,84842,163479,406969,6496,1746,406903,419,57575,10586,100874002,222166,100506380,102724057,1515,219793,196335,65998,89,363,5053,100506686,103504738,5694,8153,100423031,2208,3780,5675,388555,9622,26609,57526,340596,30848,4574;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9
113219467,112770,9208,54861,100129460;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,7203,57710,130271,57669,54861,649946,6103;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,2327,1580,21;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic9,Metastatic10
113219467,57710,163479,56955,441151,1515,65998,100506686,5694,100506755,340596,4574;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,1999,1579,5961,100129460,222256,83481,6337,3856,9365,3880,116844,26226;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
